Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Kenyon Martin,33,Forward,DEN,48.0,48,25.7,8.6,0.511,0.518,0.222,0.583,1.4,4.8,6.2,2.3,0.9,0.7,1.2,2.8,2011,0
Kevin Martin,27,Guard,HOU,80.0,80,32.5,23.5,0.436,0.467,0.383,0.888,0.4,2.9,3.2,2.5,1.0,0.2,2.3,1.9,2011,0
Wesley Matthews,24,Guard,POR,82.0,69,33.6,15.9,0.449,0.476,0.407,0.8440000000000001,0.6,2.6,3.1,2.0,1.2,0.1,1.7,2.4,2011,0
O.J. Mayo,23,Guard,MEM,71.0,17,26.3,11.3,0.407,0.431,0.364,0.7559999999999999,0.5,1.9,2.4,2.0,1.0,0.4,1.4,1.8,2011,0
JaVale McGee,23,Center,WAS,79.0,75,27.8,10.1,0.55,0.552,0.0,0.583,2.8,5.2,8.0,0.5,0.5,2.4,1.3,2.9,2011,0
Jodie Meeks,23,Guard,PHI,74.0,64,27.9,10.5,0.425,0.468,0.397,0.894,0.3,2.0,2.3,1.1,0.9,0.1,0.8,1.3,2011,0
C.J. Miles,23,Forward,UTA,78.0,19,25.2,12.8,0.407,0.459,0.322,0.8109999999999999,0.7,2.6,3.3,1.7,0.9,0.5,1.2,2.8,2011,0
Darko Milicic,25,Center,MIN,69.0,69,24.4,8.8,0.469,0.469,0.0,0.557,1.9,3.3,5.2,1.5,0.8,2.0,2.2,3.3,2011,0
Andre Miller,34,Guard,POR,81.0,81,32.7,12.7,0.46,0.476,0.108,0.853,1.2,2.5,3.7,7.0,1.4,0.1,2.4,2.1,2011,0
Paul Millsap,25,Forward,UTA,76.0,76,34.3,17.3,0.531,0.535,0.391,0.757,2.2,5.5,7.6,2.5,1.4,0.9,1.9,3.6,2011,0
Greg Monroe,20,Center,DET,80.0,48,27.8,9.4,0.551,0.552,0.0,0.622,3.1,4.4,7.5,1.3,1.2,0.6,1.0,2.5,2011,0
Anthony Morrow,25,Guard,BRK,58.0,47,32.0,13.2,0.45,0.469,0.423,0.897,0.6,2.3,3.0,1.2,0.3,0.1,0.9,2.3,2011,0
Steve Nash,36,Guard,PHO,75.0,75,33.3,14.7,0.4920000000000001,0.525,0.395,0.912,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2,2011,0
Gary Neal,26,Guard,SAS,80.0,1,21.1,9.8,0.451,0.481,0.419,0.8079999999999999,0.3,2.2,2.5,1.2,0.3,0.1,1.0,1.9,2011,0
Jameer Nelson,28,Guard,ORL,76.0,76,30.5,13.1,0.446,0.471,0.401,0.802,0.5,2.5,3.0,6.0,1.0,0.0,2.6,2.8,2011,0
Joakim Noah,25,Center,CHI,48.0,48,32.8,11.7,0.525,0.526,0.0,0.7390000000000001,3.8,6.6,10.4,2.2,1.0,1.5,1.9,3.3,2011,0
