Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Brook Lopez,31,C,MIL,68,67,26.7,12.0,.435,.549,.314,.836,0.9,3.7,4.6,1.5,0.7,2.4,1.0,2.4,2020
Robin Lopez,31,C,MIL,66,5,14.5,5.4,.492,.577,.333,.528,0.8,1.6,2.4,0.7,0.2,0.7,1.0,1.5,2020
Kevin Love,31,PF,CLE,56,56,31.8,17.6,.450,.537,.374,.854,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,2020
Kyle Lowry,33,PG,TOR,58,58,36.2,19.4,.416,.504,.352,.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,2020
Timothé Luwawu-Cabarrot,24,SF,BRK,47,2,18.1,7.8,.435,.505,.388,.852,0.6,2.1,2.7,0.6,0.4,0.1,0.8,2.3,2020
Trey Lyles,24,PF,SAS,63,53,20.2,6.4,.446,.503,.387,.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,2020
Daryl Macon,24,PG,MIA,4,0,3.5,0.8,.333,.000,.500,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,2020
J.P. Macura,24,SG,CLE,1,0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Josh Magette,30,PG,ORL,8,0,4.8,1.5,.333,.364,.250,.500,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,2020
Ian Mahinmi,33,C,WAS,38,35,21.3,7.4,.495,.538,.192,.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,2020
Thon Maker,22,C,DET,60,14,12.9,4.7,.482,.550,.344,.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,2020
Terance Mann,23,SF,LAC,41,6,8.8,2.4,.468,.508,.350,.667,0.2,1.1,1.3,1.3,0.3,0.1,0.4,1.1,2020
Boban Marjanović,31,C,DAL,44,5,9.6,6.6,.573,.603,.235,.754,1.5,3.0,4.5,0.5,0.2,0.2,0.7,1.3,2020
Lauri Markkanen,22,PF,CHI,50,50,29.8,14.7,.425,.518,.344,.824,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,2020
Caleb Martin,24,SF,CHO,18,1,17.6,6.2,.440,.362,.541,.810,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,2020
Cody Martin,24,SF,CHO,48,3,18.8,5.0,.430,.546,.234,.646,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,2020
Jeremiah Martin,23,PG,BRK,9,0,11.0,7.1,.453,.543,.278,.786,0.1,1.0,1.1,2.0,0.8,0.2,0.4,0.8,2020
Kelan Martin,24,SF,MIN,31,4,16.0,6.4,.392,.541,.260,.968,0.4,2.7,3.1,0.7,0.2,0.3,0.6,1.6,2020
Frank Mason III,25,PG,MIL,9,0,13.1,6.9,.451,.567,.286,.588,0.6,1.6,2.1,3.2,0.6,0.1,1.2,1.2,2020
Garrison Mathews,23,SG,WAS,18,0,12.6,5.4,.429,.500,.413,.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,2020
Wesley Matthews,33,SG,MIL,67,67,24.4,7.4,.396,.472,.364,.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,2020
Luc Mbah a Moute,33,PF,HOU,3,0,8.3,1.7,.400,.667,.000,.500,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,2020
Patrick McCaw,24,SF,TOR,37,12,24.5,4.6,.414,.484,.324,.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,2020
CJ McCollum,28,SG,POR,70,70,36.5,22.2,.451,.494,.379,.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,2020
T.J. McConnell,27,PG,IND,71,3,18.7,6.5,.516,.525,.294,.833,0.5,2.1,2.7,5.0,0.8,0.2,1.4,1.0,2020
Jalen McDaniels,22,SF,CHO,16,0,18.3,5.6,.471,.522,.375,.824,0.9,3.1,4.1,0.8,0.5,0.2,0.7,2.3,2020
